frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
123,328.0,413.33,93.8,100.0,46.9,86.31,58.6,79.11,187.5,72.76,152.3,62.57
124,330.67,416.0,93.8,100.0,46.9,89.29,187.5,76.47,58.6,75.69,175.8,61.24
125,333.33,418.67,93.8,100.0,46.9,91.59,187.5,79.95,58.6,70.68,175.8,62.08
126,336.0,421.33,93.8,100.0,46.9,92.8,187.5,83.05,58.6,64.17,175.8,63.98
127,338.67,424.0,93.8,100.0,46.9,92.87,187.5,85.47,175.8,66.82,35.2,63.34
128,341.33,426.67,93.8,100.0,46.9,91.94,187.5,87.12,175.8,70.37,35.2,67.19
129,344.0,429.33,93.8,100.0,46.9,90.58,187.5,88.28,175.8,74.51,35.2,70.8
130,346.67,432.0,93.8,100.0,46.9,89.14,187.5,89.0,175.8,78.97,35.2,74.19
131,349.33,434.67,93.8,100.0,187.5,89.43,46.9,87.93,175.8,83.23,35.2,77.29
132,352.0,437.33,93.8,100.0,187.5,89.82,46.9,87.72,175.8,87.06,35.2,79.89
133,354.67,440.0,93.8,100.0,175.8,90.35,187.5,90.22,46.9,88.91,35.2,82.0
134,357.33,442.67,93.8,100.0,175.8,92.74,46.9,91.51,187.5,90.73,35.2,83.63
135,360.0,445.33,93.8,100.0,46.9,95.36,175.8,93.73,187.5,91.36,35.2,84.44
136,362.67,448.0,46.9,100.0,93.8,99.95,175.8,93.15,187.5,92.17,35.2,84.5
137,365.33,450.67,46.9,100.0,93.8,94.86,187.5,88.7,175.8,86.58,35.2,79.71
138,368.0,453.33,46.9,100.0,93.8,90.09,187.5,85.8,175.8,79.19,35.2,74.63
139,370.67,456.0,46.9,100.0,93.8,86.55,187.5,84.03,175.8,71.6,35.2,70.08
140,373.33,458.67,46.9,100.0,93.8,84.57,187.5,83.46,35.2,66.46,175.8,64.42
141,376.0,461.33,46.9,100.0,93.8,84.1,187.5,84.09,58.6,64.16,35.2,63.75
142,378.67,464.0,46.9,100.0,187.5,86.02,93.8,85.09,58.6,67.99,140.6,62.28
143,381.33,466.67,46.9,100.0,187.5,89.24,93.8,87.44,58.6,71.52,140.6,64.82
144,384.0,469.33,46.9,100.0,187.5,94.22,93.8,91.28,58.6,75.15,140.6,67.74
145,386.67,472.0,187.5,100.0,46.9,98.94,93.8,95.35,58.6,77.78,140.6,70.43
146,389.33,474.67,187.5,100.0,93.8,93.34,46.9,91.08,58.6,74.26,140.6,68.49
147,392.0,477.33,187.5,100.0,93.8,91.15,46.9,82.5,58.6,69.56,152.3,68.33
148,394.67,480.0,187.5,100.0,93.8,89.05,46.9,73.5,152.3,67.42,140.6,64.09
149,397.33,482.67,187.5,100.0,93.8,86.88,152.3,65.04,46.9,64.36,82.0,64.14
150,400.0,485.33,187.5,100.0,93.8,84.52,175.8,66.75,82.0,64.49,152.3,61.54
151,402.67,488.0,187.5,100.0,93.8,82.04,175.8,71.41,82.0,63.63,152.3,57.33
152,405.33,490.67,187.5,100.0,93.8,79.52,175.8,75.48,82.0,61.55,140.6,53.78
153,408.0,493.33,187.5,100.0,175.8,79.19,93.8,77.35,82.0,58.28,35.2,52.34
154,410.67,496.0,187.5,100.0,175.8,82.52,93.8,75.55,82.0,53.95,35.2,51.56
155,413.33,498.67,187.5,100.0,175.8,85.26,93.8,74.15,35.2,50.76,82.0,48.55
156,416.0,501.33,187.5,100.0,175.8,87.4,93.8,73.27,35.2,49.91,82.0,42.13
157,418.67,504.0,187.5,100.0,175.8,88.65,93.8,72.58,35.2,49.15,82.0,35.22
158,421.33,506.67,187.5,100.0,175.8,89.17,93.8,71.9,35.2,48.75,105.5,36.2
159,424.0,509.33,187.5,100.0,175.8,88.98,93.8,71.23,35.2,48.72,105.5,37.97
160,426.67,512.0,187.5,100.0,175.8,87.92,93.8,70.49,35.2,48.96,105.5,39.82
161,429.33,514.67,187.5,100.0,175.8,86.23,93.8,69.96,35.2,49.51,105.5,41.62
162,432.0,517.33,187.5,100.0,175.8,84.01,93.8,69.74,35.2,50.49,105.5,43.32
163,434.67,520.0,187.5,100.0,175.8,81.26,93.8,69.9,35.2,51.9,105.5,44.84
164,437.33,522.67,187.5,100.0,175.8,78.17,93.8,70.63,35.2,53.6,105.5,46.01
165,440.0,525.33,187.5,100.0,175.8,74.84,93.8,71.87,35.2,55.51,105.5,46.82
166,442.67,528.0,187.5,100.0,93.8,73.49,175.8,71.23,35.2,57.53,105.5,47.29
167,445.33,530.67,187.5,100.0,93.8,75.41,175.8,67.19,35.2,59.59,105.5,47.22
168,448.0,533.33,187.5,100.0,93.8,77.7,175.8,62.67,35.2,61.62,105.5,46.1
169,450.67,536.0,187.5,100.0,93.8,80.42,35.2,63.37,175.8,57.97,105.5,43.72
170,453.33,538.67,187.5,100.0,93.8,83.25,35.2,64.85,175.8,53.66,105.5,40.42
171,456.0,541.33,187.5,100.0,93.8,85.77,35.2,65.96,175.8,50.68,46.9,39.68
172,458.67,544.0,187.5,100.0,93.8,88.0,35.2,66.59,175.8,50.29,46.9,41.01
173,461.33,546.67,187.5,100.0,93.8,90.08,35.2,66.82,175.8,53.2,82.0,44.36
174,464.0,549.33,187.5,100.0,93.8,91.97,35.2,66.38,175.8,59.34,82.0,49.81
175,466.67,552.0,187.5,100.0,93.8,93.57,175.8,67.68,35.2,65.18,82.0,56.16
176,469.33,554.67,187.5,100.0,93.8,94.91,175.8,76.88,35.2,63.12,82.0,62.41
177,472.0,557.33,187.5,100.0,93.8,96.38,175.8,86.1,82.0,67.54,35.2,60.13
178,474.67,560.0,187.5,100.0,93.8,98.01,175.8,94.59,82.0,70.99,35.2,56.17
179,477.33,562.67,175.8,100.0,187.5,98.34,93.8,97.71,82.0,71.62,46.9,50.65
180,480.0,565.33,175.8,100.0,93.8,93.69,187.5,93.24,82.0,68.19,46.9,48.73
181,482.67,568.0,175.8,100.0,93.8,91.24,187.5,89.91,82.0,64.9,46.9,47.15
182,485.33,570.67,175.8,100.0,93.8,89.99,187.5,88.06,82.0,61.98,46.9,46.02
183,488.0,573.33,175.8,100.0,93.8,89.6,187.5,87.47,82.0,59.59,46.9,45.28
184,490.67,576.0,175.8,100.0,93.8,90.06,187.5,88.14,82.0,57.84,58.6,47.85
185,493.33,578.67,175.8,100.0,93.8,91.55,187.5,90.14,82.0,56.56,58.6,53.74
