frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
151,402.67,488.0,187.5,39.47,93.8,32.38,175.8,28.18,82.0,25.11,152.3,22.63
152,405.33,490.67,187.5,40.65,93.8,32.32,175.8,30.68,82.0,25.02,140.6,21.86
153,408.0,493.33,187.5,41.69,175.8,33.01,93.8,32.25,82.0,24.29,35.2,21.82
154,410.67,496.0,187.5,42.55,175.8,35.11,93.8,32.14,82.0,22.95,35.2,21.94
155,413.33,498.67,187.5,43.25,175.8,36.87,93.8,32.07,35.2,21.95,82.0,20.99
156,416.0,501.33,187.5,43.77,175.8,38.26,93.8,32.07,35.2,21.85,82.0,18.44
157,418.67,504.0,187.5,44.18,175.8,39.17,93.8,32.07,35.2,21.71,82.0,15.56
158,421.33,506.67,187.5,44.43,175.8,39.61,93.8,31.94,35.2,21.66,105.5,16.08
159,424.0,509.33,187.5,44.51,175.8,39.6,93.8,31.7,35.2,21.69,105.5,16.9
160,426.67,512.0,187.5,44.46,175.8,39.09,93.8,31.34,35.2,21.77,105.5,17.71
161,429.33,514.67,187.5,44.25,175.8,38.16,93.8,30.96,35.2,21.91,105.5,18.42
162,432.0,517.33,187.5,43.85,175.8,36.84,93.8,30.58,35.2,22.14,105.5,19.0
163,434.67,520.0,187.5,43.29,175.8,35.18,93.8,30.26,35.2,22.46,105.5,19.41
164,437.33,522.67,187.5,42.54,175.8,33.25,93.8,30.04,35.2,22.8,105.5,19.57
165,440.0,525.33,187.5,41.62,175.8,31.15,93.8,29.92,35.2,23.11,105.5,19.49
166,442.67,528.0,187.5,40.58,93.8,29.83,175.8,28.91,35.2,23.35,105.5,19.19
167,445.33,530.67,187.5,39.49,93.8,29.78,175.8,26.54,35.2,23.53,105.5,18.65
168,448.0,533.33,187.5,38.44,93.8,29.87,175.8,24.09,35.2,23.68,105.5,17.72
169,450.67,536.0,187.5,37.45,93.8,30.12,35.2,23.73,175.8,21.71,105.5,16.37
170,453.33,538.67,187.5,36.56,93.8,30.44,35.2,23.71,175.8,19.62,105.5,14.78
171,456.0,541.33,187.5,35.79,93.8,30.7,35.2,23.61,175.8,18.14,46.9,14.2
172,458.67,544.0,187.5,35.12,93.8,30.91,35.2,23.39,175.8,17.66,46.9,14.4
173,461.33,546.67,187.5,34.54,93.8,31.12,35.2,23.08,175.8,18.38,82.0,15.32
174,464.0,549.33,187.5,34.03,93.8,31.3,35.2,22.59,175.8,20.2,82.0,16.95
175,466.67,552.0,187.5,33.61,93.8,31.45,175.8,22.74,35.2,21.9,82.0,18.87
176,469.33,554.67,187.5,33.32,93.8,31.62,175.8,25.61,35.2,21.03,82.0,20.79
177,472.0,557.33,187.5,33.16,93.8,31.96,175.8,28.55,82.0,22.39,35.2,19.94
178,474.67,560.0,187.5,33.12,93.8,32.46,175.8,31.33,82.0,23.51,35.2,18.6
179,477.33,562.67,175.8,33.79,187.5,33.23,93.8,33.02,82.0,24.2,46.9,17.12
180,480.0,565.33,175.8,35.88,93.8,33.61,187.5,33.45,82.0,24.46,46.9,17.48
