frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
143,1525.33,1568.0,187.5,100.0,46.9,83.06,117.2,70.67,210.9,65.03,70.3,63.34
144,1536.0,1578.67,187.5,100.0,70.3,71.78,46.9,69.62,164.1,66.17,210.9,60.44
145,1546.67,1589.33,187.5,100.0,164.1,62.72,46.9,55.92,210.9,43.49,281.2,42.76
146,1557.33,1600.0,187.5,100.0,164.1,71.33,46.9,48.74,23.4,44.77,93.8,43.97
147,1568.0,1610.67,46.9,100.0,187.5,87.91,70.3,68.64,23.4,67.11,164.1,51.82
148,1578.67,1621.33,46.9,100.0,23.4,58.07,70.3,51.0,187.5,46.27,210.9,21.2
149,1589.33,1632.0,46.9,100.0,70.3,62.82,23.4,60.73,187.5,48.37,164.1,39.2
150,1600.0,1642.67,46.9,100.0,23.4,99.11,187.5,96.14,70.3,66.33,164.1,55.61
151,1610.67,1653.33,187.5,100.0,46.9,99.72,23.4,94.79,164.1,72.23,70.3,63.85
152,1621.33,1664.0,46.9,100.0,187.5,66.29,70.3,60.7,23.4,60.35,164.1,51.81
153,1632.0,1674.67,46.9,100.0,187.5,44.92,70.3,43.87,23.4,42.42,164.1,22.13
154,1642.67,1685.33,46.9,100.0,70.3,76.29,187.5,36.0,23.4,32.0,93.8,28.77
155,1653.33,1696.0,46.9,100.0,70.3,90.33,23.4,55.43,187.5,54.91,210.9,36.25
156,1664.0,1706.67,187.5,100.0,23.4,85.97,93.8,83.89,70.3,76.83,210.9,65.81
157,1674.67,1717.33,164.1,100.0,187.5,85.32,117.2,72.83,23.4,70.5,140.6,66.3
158,1685.33,1728.0,164.1,100.0,140.6,93.19,46.9,91.67,23.4,81.86,187.5,59.12
159,1696.0,1738.67,46.9,100.0,23.4,52.46,70.3,50.63,257.8,24.96,93.8,23.85
160,1706.67,1749.33,46.9,100.0,70.3,86.5,23.4,45.6,93.8,29.97,257.8,15.78
161,1717.33,1760.0,70.3,100.0,46.9,69.22,93.8,46.68,23.4,32.01,140.6,26.48
162,1728.0,1770.67,70.3,100.0,46.9,84.95,23.4,44.09,140.6,33.45,93.8,28.62
163,1738.67,1781.33,23.4,100.0,46.9,82.18,70.3,71.04,93.8,46.96,140.6,36.22
164,1749.33,1792.0,23.4,100.0,46.9,80.6,70.3,64.03,140.6,47.73,164.1,46.72
165,1760.0,1802.67,46.9,100.0,23.4,85.48,140.6,35.68,93.8,29.9,117.2,29.66
166,1770.67,1813.33,46.9,100.0,23.4,72.41,70.3,52.49,93.8,41.11,164.1,30.12
167,1781.33,1824.0,46.9,100.0,23.4,68.91,117.2,40.44,93.8,38.22,70.3,36.06
168,1792.0,1834.67,46.9,100.0,23.4,59.99,164.1,42.0,70.3,39.92,117.2,37.22
169,1802.67,1845.33,46.9,100.0,70.3,61.33,140.6,49.26,23.4,41.61,164.1,35.89
170,1813.33,1856.0,46.9,100.0,70.3,51.45,23.4,44.42,140.6,43.77,117.2,31.97
171,1824.0,1866.67,46.9,100.0,70.3,65.27,23.4,57.14,140.6,41.29,164.1,28.4
172,1834.67,1877.33,46.9,100.0,23.4,93.4,70.3,50.71,140.6,48.7,93.8,47.9
173,1845.33,1888.0,23.4,100.0,46.9,75.12,140.6,51.06,93.8,48.93,164.1,35.45
174,1856.0,1898.67,23.4,100.0,46.9,87.31,140.6,56.82,93.8,50.41,117.2,49.73
175,1866.67,1909.33,46.9,100.0,23.4,87.55,164.1,45.23,93.8,44.54,140.6,40.18
176,1877.33,1920.0,46.9,100.0,23.4,77.87,70.3,45.61,117.2,42.03,93.8,35.06
177,1888.0,1930.67,46.9,100.0,23.4,75.63,93.8,29.53,70.3,29.07,117.2,26.28
