frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
83,885.33,928.0,187.5,31.73,164.1,22.18,46.9,16.93,210.9,14.61,93.8,13.37
84,896.0,938.67,187.5,28.35,46.9,24.6,164.1,15.07,23.4,13.94,210.9,13.77
85,906.67,949.33,46.9,28.03,187.5,23.83,70.3,18.58,210.9,15.06,23.4,14.9
86,917.33,960.0,187.5,29.51,164.1,22.75,46.9,20.09,70.3,13.74,23.4,12.68
87,928.0,970.67,187.5,31.06,164.1,29.66,140.6,21.43,210.9,16.03,117.2,11.11
88,938.67,981.33,187.5,23.31,140.6,20.34,210.9,14.42,93.8,9.1,46.9,8.34
89,949.33,992.0,140.6,22.28,187.5,17.84,117.2,17.09,164.1,16.74,93.8,12.4
90,960.0,1002.67,140.6,26.6,187.5,18.87,117.2,15.19,281.2,12.81,210.9,12.66
91,970.67,1013.33,164.1,24.44,187.5,21.11,140.6,17.6,281.2,16.21,257.8,14.12
92,981.33,1024.0,93.8,16.79,281.2,15.55,70.3,15.07,187.5,12.19,304.7,11.04
93,992.0,1034.67,93.8,24.42,70.3,19.27,117.2,15.73,23.4,12.56,281.2,12.47
94,1002.67,1045.33,70.3,17.28,46.9,16.8,93.8,14.87,23.4,11.32,140.6,11.15
95,1013.33,1056.0,117.2,9.05,140.6,8.91,164.1,8.45,70.3,7.93,23.4,7.6
96,1024.0,1066.67,93.8,13.53,70.3,10.68,117.2,9.31,46.9,8.74,23.4,7.49
97,1034.67,1077.33,93.8,17.76,46.9,14.84,23.4,9.9,117.2,9.57,164.1,9.31
98,1045.33,1088.0,46.9,22.82,70.3,19.25,93.8,15.9,23.4,13.29,164.1,11.08
99,1056.0,1098.67,46.9,25.59,23.4,13.86,93.8,10.86,140.6,8.24,164.1,8.05
100,1066.67,1109.33,46.9,19.49,70.3,15.83,23.4,14.94,93.8,13.24,164.1,10.63
101,1077.33,1120.0,93.8,21.48,46.9,15.8,164.1,14.78,70.3,10.63,117.2,10.6
102,1088.0,1130.67,70.3,23.58,93.8,20.68,46.9,18.66,187.5,16.44,164.1,15.92
103,1098.67,1141.33,46.9,23.02,93.8,15.53,187.5,15.33,23.4,9.78,140.6,8.5
104,1109.33,1152.0,46.9,32.62,70.3,25.92,23.4,16.52,93.8,15.69,187.5,15.65
105,1120.0,1162.67,46.9,44.04,23.4,20.31,70.3,19.89,187.5,19.84,93.8,13.38
106,1130.67,1173.33,46.9,49.76,70.3,32.87,187.5,29.54,23.4,27.42,164.1,24.62
107,1141.33,1184.0,46.9,46.56,187.5,36.66,23.4,32.6,164.1,30.93,93.8,20.81
108,1152.0,1194.67,46.9,35.31,187.5,31.83,70.3,31.76,93.8,28.74,23.4,26.51
109,1162.67,1205.33,93.8,37.46,187.5,28.04,70.3,22.24,23.4,17.41,46.9,13.33
110,1173.33,1216.0,187.5,33.99,93.8,29.59,164.1,27.58,70.3,23.37,117.2,18.81
111,1184.0,1226.67,187.5,40.57,210.9,20.78,164.1,20.65,93.8,19.04,70.3,10.39
112,1194.67,1237.33,187.5,39.99,164.1,26.79,46.9,18.92,70.3,16.65,210.9,16.25
113,1205.33,1248.0,187.5,35.95,46.9,23.25,164.1,21.57,210.9,18.13,23.4,17.16
114,1216.0,1258.67,187.5,29.37,23.4,23.21,46.9,18.76,93.8,18.72,164.1,16.06
115,1226.67,1269.33,46.9,44.51,70.3,38.81,23.4,28.21,187.5,25.29,93.8,22.95
116,1237.33,1280.0,46.9,47.07,70.3,33.59,23.4,28.04,187.5,26.75,93.8,15.51
117,1248.0,1290.67,187.5,29.1,164.1,20.86,23.4,20.69,46.9,20.27,210.9,15.51
118,1258.67,1301.33,187.5,23.01,164.1,17.27,23.4,11.81,281.2,11.43,46.9,10.78
119,1269.33,1312.0,46.9,20.8,187.5,14.51,70.3,10.98,140.6,9.36,23.4,9.24
120,1280.0,1322.67,46.9,33.15,70.3,20.67,187.5,17.48,23.4,16.48,164.1,14.08
121,1290.67,1333.33,46.9,40.98,70.3,33.27,187.5,20.55,23.4,18.24,164.1,17.72
122,1301.33,1344.0,46.9,34.64,70.3,23.97,187.5,18.18,164.1,15.17,23.4,11.83
123,1312.0,1354.67,46.9,31.12,187.5,20.18,23.4,16.43,210.9,13.77,164.1,11.84
124,1322.67,1365.33,46.9,42.79,23.4,26.9,70.3,19.36,187.5,16.85,210.9,12.52
125,1333.33,1376.0,46.9,52.45,70.3,34.6,23.4,28.57,187.5,17.32,164.1,13.46
126,1344.0,1386.67,46.9,46.58,70.3,23.35,23.4,22.07,164.1,20.93,187.5,16.3
127,1354.67,1397.33,46.9,37.56,23.4,20.7,70.3,18.79,140.6,15.01,164.1,13.89
128,1365.33,1408.0,46.9,36.41,23.4,21.19,93.8,13.28,117.2,12.35,70.3,11.37
129,1376.0,1418.67,46.9,34.76,70.3,22.74,23.4,20.6,93.8,17.36,117.2,15.11
130,1386.67,1429.33,46.9,22.96,187.5,20.51,23.4,19.9,210.9,12.47,164.1,11.33
131,1397.33,1440.0,187.5,28.42,164.1,19.86,23.4,19.2,210.9,13.44,46.9,12.94
132,1408.0,1450.67,187.5,27.06,46.9,26.36,164.1,22.82,70.3,22.71,23.4,18.75
133,1418.67,1461.33,46.9,25.02,187.5,18.25,93.8,14.55,164.1,14.48,23.4,13.2
134,1429.33,1472.0,46.9,22.33,70.3,15.32,187.5,8.86,93.8,8.68,23.4,8.43
135,1440.0,1482.67,46.9,28.92,23.4,14.07,70.3,12.78,93.8,10.33,117.2,10.16
136,1450.67,1493.33,46.9,33.52,70.3,20.94,23.4,19.44,93.8,13.39,117.2,10.46
137,1461.33,1504.0,46.9,32.58,23.4,20.54,234.4,12.44,164.1,11.84,70.3,10.01
138,1472.0,1514.67,70.3,28.41,46.9,20.37,23.4,15.02,93.8,14.94,164.1,14.02
139,1482.67,1525.33,70.3,38.34,93.8,25.58,46.9,17.39,23.4,15.57,164.1,8.53
140,1493.33,1536.0,46.9,37.68,70.3,34.11,23.4,20.53,93.8,17.1,210.9,8.73
141,1504.0,1546.67,46.9,26.57,23.4,17.2,70.3,11.46,187.5,9.61,210.9,7.68
142,1514.67,1557.33,46.9,15.18,187.5,13.51,117.2,11.24,140.6,10.63,70.3,8.78
143,1525.33,1568.0,187.5,19.69,46.9,16.35,117.2,13.91,210.9,12.8,70.3,12.47
144,1536.0,1578.67,187.5,31.56,70.3,22.66,46.9,21.98,164.1,20.88,210.9,19.08
145,1546.67,1589.33,187.5,40.29,164.1,25.27,46.9,22.53,210.9,17.53,281.2,17.23
146,1557.33,1600.0,187.5,40.85,164.1,29.14,46.9,19.91,23.4,18.29,93.8,17.96
147,1568.0,1610.67,46.9,41.05,187.5,36.08,70.3,28.17,23.4,27.55,164.1,21.27
148,1578.67,1621.33,46.9,57.44,23.4,33.36,70.3,29.3,187.5,26.58,210.9,12.18
149,1589.33,1632.0,46.9,50.14,70.3,31.5,23.4,30.45,187.5,24.25,164.1,19.65
150,1600.0,1642.67,46.9,25.42,23.4,25.19,187.5,24.43,70.3,16.86,164.1,14.13
151,1610.67,1653.33,187.5,24.5,46.9,24.43,23.4,23.22,164.1,17.7,70.3,15.64
152,1621.33,1664.0,46.9,36.62,187.5,24.27,70.3,22.22,23.4,22.1,164.1,18.97
153,1632.0,1674.67,46.9,35.16,187.5,15.79,70.3,15.43,23.4,14.92,164.1,7.78
154,1642.67,1685.33,46.9,40.12,70.3,30.61,187.5,14.44,23.4,12.84,93.8,11.54
155,1653.33,1696.0,46.9,40.83,70.3,36.88,23.4,22.63,187.5,22.42,210.9,14.8
156,1664.0,1706.67,187.5,25.18,23.4,21.65,93.8,21.12,70.3,19.34,210.9,16.57
157,1674.67,1717.33,164.1,21.84,187.5,18.63,117.2,15.9,23.4,15.39,140.6,14.48
158,1685.33,1728.0,164.1,16.41,140.6,15.29,46.9,15.04,23.4,13.43,187.5,9.7
159,1696.0,1738.67,46.9,25.56,23.4,13.41,70.3,12.94,257.8,6.38,93.8,6.1
160,1706.67,1749.33,46.9,36.2,70.3,31.31,23.4,16.51,93.8,10.85,257.8,5.71
161,1717.33,1760.0,70.3,36.97,46.9,25.59,93.8,17.26,23.4,11.83,140.6,9.79
162,1728.0,1770.67,70.3,29.14,46.9,24.75,23.4,12.85,140.6,9.74,93.8,8.34
163,1738.67,1781.33,23.4,24.99,46.9,20.54,70.3,17.76,93.8,11.74,140.6,9.05
164,1749.33,1792.0,23.4,34.36,46.9,27.69,70.3,22.0,140.6,16.4,164.1,16.05
165,1760.0,1802.67,46.9,51.39,23.4,43.93,140.6,18.34,93.8,15.36,117.2,15.24
166,1770.67,1813.33,46.9,61.99,23.4,44.89,70.3,32.54,93.8,25.49,164.1,18.67
167,1781.33,1824.0,46.9,54.13,23.4,37.3,117.2,21.89,93.8,20.69,70.3,19.52
168,1792.0,1834.67,46.9,44.83,23.4,26.9,164.1,18.83,70.3,17.9,117.2,16.69
169,1802.67,1845.33,46.9,47.33,70.3,29.03,140.6,23.31,23.4,19.69,164.1,16.99
170,1813.33,1856.0,46.9,53.16,70.3,27.35,23.4,23.61,140.6,23.27,117.2,16.99
171,1824.0,1866.67,46.9,54.44,70.3,35.53,23.4,31.11,140.6,22.48,164.1,15.46
172,1834.67,1877.33,46.9,35.37,23.4,33.03,70.3,17.93,140.6,17.22,93.8,16.94
173,1845.33,1888.0,23.4,31.55,46.9,23.7,140.6,16.11,93.8,15.44,164.1,11.18
